M_id;T_id;Price_d1
75960;373917;62,12
229565;465923;470,53
294556;528812;271,43
229707;465924;460,42
264167;474220;264,46
229567;465925;182,99
229570;465926;289,02
229571;465933;266,52
294578;496546;277,56
264169;474221;нет
397204;568161;294,75
264183;474222;233,96
229574;465931;382,59
229572;465927;469,76
294579;496637;274
266875;474223;151,67
294582;564471;292,73
229576;465928;524,32
294584;569588;697,63
229579;465932;282,4
229626;465935;263,51
229629;465934;315,64
229581;465929;177,26
229585;465939;нет
294589;528872;229,17
229715;465936;434,61
229586;465940;564,33
229592;465942;268,13
229590;465943;344,1
229577;465944;773,81
229580;465945;242,43
229593;465949;253,06
229595;465946;245,81
229598;465961;213,15
229601;465947;451,54
391694;564686;261,55
229589;465948;244,57
229603;465950;297,02
229605;465951;863,97
264174;474227;444,81
231191;465952;275,67
229610;465930;473,85
229613;465941;324,19
229608;465954;277,57
229612;465955;516,71
229614;465953;263,73
266884;474228;229,76
294598;524289;нет
294603;524249;454,01
294607;496705;330,57
294606;526353;нет
294611;497247;нет
384144;562342;637,77
229616;465956;235,36
334809;534097;нет
229713;465957;280,09
229619;465958;368,16
229620;465959;444,19
266887;474229;400,84
294613;514067;601,38
294614;496700;192,76
229621;465960;158,69
229624;465962;129,97
264179;474231;274,79
9770;370022;16,4
355163;530001;нет
166940;336240;нет
49255;362597;13
95575;350955;нет
95577;345478;нет
78762;353612;нет
78763;332190;нет
190669;439652;нет
94466;337335;нет
133326;353774;нет
134164;409173;нет
134171;409172;нет
166522;396384;нет
178589;437450;нет
178590;437451;нет
178591;437452;нет
178592;437453;нет
178593;437454;нет
178595;437455;нет
162079;437434;нет
162083;437436;нет
178601;437456;нет
178602;437457;нет
162097;437446;нет
163273;437447;нет
162085;437439;нет
162084;437438;нет
178596;437458;нет
162087;437440;нет
162088;437441;нет
162089;437442;нет
162090;437443;нет
162093;437444;нет
162094;437445;нет
178597;437459;нет
178598;437460;нет
178600;437461;нет
162099;437448;нет
162101;437449;нет
158292;437462;нет
158293;437463;нет
158294;437464;нет
158295;437465;нет
158296;437466;нет
61865;384900;нет
88873;390148;нет
88876;387816;нет
88862;401621;нет
112871;393417;нет
62229;401196;нет
62230;393418;нет
35019;383894;нет
109275;383895;нет
109271;390407;нет
21959;390408;нет
65048;396877;нет
74453;387557;нет
74452;391418;нет
288046;529908;90,4
288047;526398;150,54
150903;474323;нет
150690;359762;67,78
150904;474324;нет
150691;359763;67,78
151015;474325;нет
150692;359764;67,78
19117;326279;8,03
69596;362802;28,01
234751;470783;118,98
234753;473697;118,97
169527;431330;34,45
357997;572855;117,29
293550;496794;130,77
352555;573128;21,85
172492;431692;41,62
78066;337453;67,39
296451;564242;42,97
190674;470114;23,38
351392;568308;нет
309321;568307;нет
220366;564238;нет
351393;568302;нет
298721;568301;нет
188657;487090;23,3
351395;568310;нет
309322;568309;нет
304650;568304;23,16
351394;568306;нет
374126;568303;нет
220369;569709;40,82
373768;568482;нет
38443;369754;19,36
17061;362724;18,65
332268;560004;101,48
109253;352257;113,33
342887;568061;171,81
40676;361215;14,71
40678;326617;15,12
337420;557124;87,73
373739;568483;нет
307128;529663;нет
58623;329514;329,36
19948;371545;12,8
373734;568484;нет
193097;572829;нет
393521;567267;156,7
393519;567266;88,96
393516;568145;88,12
393517;568146;139,2
393518;568147;72,1
290955;529525;нет
352260;559064;нет
413543;580619;нет
376806;533906;90,47
376807;532545;113,84
250979;467707;нет
297965;557517;44,8
303698;565330;369,6
303693;565333;369,6
303708;565332;369,6
303705;557512;36,96
303703;565331;369,6
166990;336187;нет
406236;569890;нет
406235;569889;25,55
406225;569888;53,73
406231;571311;53,73
308871;496385;нет
151018;426012;нет
93355;426000;13,01
74960;337821;14,55
9771;362160;17,95
110084;426005;19,43
90905;425998;нет
57158;365325;7,65
91228;403375;15,9
13637;328523;18,7
107812;403959;8,05
9802;361429;9,46
178990;438794;нет
160037;424986;нет
240733;557607;нет
229180;564071;нет
85564;333460;97,58
229185;467300;55,76
85556;333521;97,25
108104;359876;86,03
240732;564072;59,76
108105;359875;118,49
190997;465392;нет
173386;438282;нет
190998;465394;102,22
85549;333461;73,01
134495;359879;73,01
229188;467215;80,32
85546;352527;129,78
179668;438283;97,27
85568;352348;94,92
199702;465393;210,02
173390;438281;102,22
85568;398724;94,92
134496;347237;102,22
200384;465391;нет
116176;359873;нет
116174;359874;нет
240736;568040;152,67
240731;568041;152,67
240735;568042;199,65
110547;359872;нет
110546;334350;209,09
110548;334819;90,97
110549;349793;139,23
9774;326329;10
80113;374520;9,38
300549;564331;нет
70015;328991;123,07
300550;563116;нет
91401;426001;10,56
17056;326711;10,33
308882;527171;138,62
373733;568485;нет
122695;358327;нет
119330;355776;нет
398220;568022;135,36
398221;568023;223,88
52454;376725;нет
40701;401877;13,71
93034;348406;14,76
49926;426006;12,18
19946;326874;11,71
49929;426007;11,67
20324;326712;12,48
19970;328815;16,05
48255;346708;14,76
13798;352522;8,99
41608;351328;14,01
9805;327998;нет
80143;364247;12,77
48274;370745;12,35
9804;360804;нет
40703;369974;нет
94679;345909;18,93
94678;346817;19,38
26752;363755;12,88
48291;327259;12,87
38428;328640;10,08
68032;362481;11,44
373745;568486;нет
39866;336242;234,62
373751;568487;нет
325085;557128;нет
343223;559982;нет
317563;468784;нет
287891;568164;нет
38444;359448;14,09
13789;327225;15,68
373755;568488;нет
373748;568491;нет
373766;568492;нет
373750;568493;нет
132055;572859;нет
197102;462164;304,1
38455;335946;11,98
385477;567829;60,23
13441;326278;11,03
36002;328641;9,88
13443;326710;10,81
9801;326914;12,58
93393;380732;12,49
72360;369871;нет
40728;327278;14,02
304597;412352;158
20504;376138;25,07
292745;499383;нет
38447;337013;19,53
13787;329072;22,19
99997;344963;121,78
278940;328085;нет
9783;326873;7,99
303130;524424;164,64
38433;362112;9,98
144797;425999;9,34
19971;403625;17,83
40749;360989;нет
55117;335697;11,92
55115;350060;11,46
337421;557127;120,31
166983;336061;нет
373737;568494;нет
20505;326573;49,28
36006;362827;14,84
13442;326383;15,36
36004;328642;10,11
9703;326769;10,62
373760;568495;нет
230326;468847;нет
373770;568496;нет
36008;336950;15,29
12905;327769;17,02
364441;562198;нет
73084;333024;нет
113012;354037;нет
35014;361932;нет
35004;403529;нет
34561;378079;нет
35016;371210;нет
32947;371211;23,25
27594;377624;нет
35012;368513;нет
40436;379969;нет
40768;361808;нет
40437;371549;нет
40713;381929;нет
32872;368511;нет
32875;363031;нет
33669;361533;нет
27610;370709;нет
62225;370712;16,9
23028;364003;16,47
21950;368456;20,19
27593;368508;нет
23030;366287;14,65
34562;365869;нет
28611;368509;17
27595;361544;18,68
34564;368036;нет
23042;361045;16,16
21964;371435;22,96
21964;437387;22,96
21964;363007;22,96
62228;386621;нет
34565;361561;34,01
34565;368037;34,01
23217;368039;16,91
27599;380233;нет
62527;370653;15,43
23031;370591;нет
27601;373862;нет
23032;381490;25,78
21954;368040;42,59
21954;365423;42,59
62232;368430;нет
27602;370654;нет
88856;378070;нет
62233;370670;16,35
62235;387159;нет
23038;366728;56,16
28619;366727;17,14
23037;360976;16,2
35017;370502;нет
23040;366729;23,27
73172;378987;22,09
88868;386312;нет
23038;476275;56,16
28115;383333;нет
62528;366769;нет
21962;361720;18,13
62237;369818;25,78
22920;366730;13,55
27611;365680;нет
21963;367554;нет
28706;367555;нет
21958;366725;30,58
21958;360888;30,58
23035;366721;11,98
88879;390382;нет
27598;378494;нет
40443;404778;нет
28612;362027;27,8
32281;368038;нет
162899;425996;нет
48248;329720;11,15
88853;397124;нет
116960;370713;нет
40782;380439;нет
40792;368876;нет
40793;380810;нет
32945;366291;нет
32816;370535;нет
32925;370560;нет
27604;362653;нет
28615;363752;14,28
31598;384516;21,87
358651;573092;14,14
358652;573093;9,47
27608;366723;нет
28617;372742;20,75
34399;363753;нет
32822;363033;23,94
33085;366722;62,84
34799;362992;нет
34566;362858;20,33
358650;573094;28,77
373003;573095;22,41
175758;436356;109,15
373763;568509;нет
373742;568510;нет
140736;354866;73,89
30419;328397;20,95
9781;329073;10,29
36012;361980;12,76
9778;363735;13,79
9779;329617;8,74
21534;565392;13,71
13796;371172;нет
9780;327493;9,32
149470;360380;нет
60093;336065;6,78
38451;328238;12,59
19961;333419;10,45
9704;362378;нет
234749;562170;137,09
40838;329709;13,47
70960;332533;11,42
161602;514096;нет
161604;524384;нет
161606;514097;нет
161600;514099;нет
161611;514095;нет
316402;529999;163,09
91262;349129;13,26
40839;362742;19,29
246896;476304;127,93
226527;474345;35,93
225794;358369;29,11
151691;486996;44,62
92495;404705;16,35
9773;381493;8,67
373731;564350;107,55
373723;564351;106,35
373729;564352;120,83
378075;564353;102,07
113216;426009;15,22
136116;426010;19,72
144654;378445;нет
144653;426013;нет
353703;558840;66,64
288337;487034;80,73
264992;527099;нет
286236;486484;41,51
17057;331350;14
17058;362743;13,42
373757;568511;нет
38435;361744;10,11
9806;361091;10,18
311799;529874;20,34
160245;425991;нет
55159;425990;нет
316648;554032;22,57
352804;558838;22,57
97642;338574;38,2
316986;554033;22,57
347566;558839;22,57
311802;529875;22,57
107149;337439;нет
73181;337822;нет
126680;337523;нет
73854;347338;18,11
77672;363280;16,96
73185;337524;нет
73186;338119;нет
107155;425987;нет
135174;425988;нет
107157;425986;нет
107158;425985;нет
134782;337525;нет
107159;337526;нет
40852;336588;8,63
40853;361004;9,6
300533;535553;66
300536;535554;нет
107163;373623;20,42
107160;426004;нет
234091;467379;46,11
21256;336839;нет
313332;464249;206,02
70203;327305;11,25
70201;364454;12,43
111112;563109;10,11
80142;366052;нет
13794;326826;11,33
91274;403376;нет
13795;360958;7,4
75794;376691;нет
305424;564130;11,49
75792;359518;13,68
20536;326622;нет
80186;335008;15,61
80188;365727;14,66
229584;465938;198,52
337045;557131;нет
309947;558769;нет
152675;437527;нет
152676;437523;нет
258556;470782;нет
241425;468233;нет
196891;468232;нет
196889;468230;нет
196890;468231;нет
103557;376238;нет
103550;404338;нет
103555;404240;нет
123600;404205;нет
123601;468235;нет
103550;376101;нет
103552;344979;нет
103553;377511;нет
103555;343961;нет
103549;342546;нет
103554;525409;нет
103554;343738;нет
103551;377323;нет
117058;401233;нет
117059;401235;нет
178156;437743;4,79
178157;572790;4,9
154066;359273;нет
154065;359274;5,01
154067;359275;нет
178158;437735;4,78
187061;439200;3,82
187065;439201;4,11
187064;439202;нет
333661;558210;362,54
300087;529921;218,73
169863;431343;41,75
169864;431344;41,75
169867;431345;41,75
169866;431346;58,45
169861;431348;41,75
181985;438334;58,45
169865;431349;41,75
169860;431350;58,45
169862;431351;41,75
128280;466673;нет
357998;561084;74,52
78065;337993;34,31
240752;467706;116,94
173879;437549;нет
173880;437547;нет
172350;437534;нет
169994;437541;нет
169997;437538;нет
169999;437542;нет
138961;437520;нет
96835;437582;нет
85922;347154;нет
201569;464139;116,02
48845;335651;нет
22719;329942;нет
22719;327883;нет
202111;459520;нет
48846;329105;нет
131993;334714;нет
137276;343519;нет
174729;437886;нет
173958;437884;нет
173959;437885;нет
62841;347405;нет
62839;329711;нет
137276;326713;нет
134326;344303;нет
62844;349407;нет
62845;329491;нет
62846;329492;нет
63129;333573;нет
63130;362594;нет
303695;557511;36,96
110092;326659;21,31
48821;329866;20,76
48822;328950;18,21
51351;335037;20,49
48824;353890;20,49
160616;355417;5,13
156013;355415;5,13
160229;360002;5,13
156014;355416;5,13
125221;572791;нет
157152;360001;5,13
140334;572937;нет
156559;360000;5,13
140336;572936;нет
227821;487074;335,91
198325;463274;нет
237570;424987;99,95
125147;359051;нет
223259;326371;59,77
107353;354185;120,01
408058;561087;нет
110722;359447;нет
66311;366379;нет
99716;428048;78,46
38431;361855;17,18
54746;377042;19,84
182770;470112;нет
48195;437430;нет
122694;358328;нет
241450;470116;191,46
25637;365691;50,69
59704;332471;25,6
136120;426003;нет
257522;474232;нет
45101;388371;12,88
43465;388370;нет
128285;354129;231,61
128278;358454;338,76
75660;426002;нет
233972;466524;нет
138118;358396;нет
138116;358397;нет
138117;358398;нет
354199;580696;156,24
141631;414535;83,11
128281;465504;138,27
120204;464612;нет
140884;359211;нет
140885;359212;94,89
306406;524215;58,44
221061;464138;82,02
170591;467656;нет
265797;469454;нет
265806;469455;нет
79072;362223;нет
131235;358994;нет
104923;359073;нет
66347;365588;нет
126513;358096;118,25
102966;327079;нет
77469;330774;нет
102967;327061;21,34
230878;468931;107,39
186650;487111;122,57
352811;557287;72
156343;437428;нет
156345;437426;нет
156346;437429;нет
79073;375516;13,86
79074;362222;нет
58346;380610;нет
79079;362423;нет
86711;425049;нет
86714;425067;нет
100185;349289;нет
100186;348185;9,97
100187;348186;нет
100188;349049;нет
100189;357894;9,97
100190;349050;нет
100191;349048;9,97
100192;349051;9,97
100193;349299;нет
100194;349300;9,97
79984;370639;нет
79986;370641;нет
79974;370637;нет
79981;370638;нет
91957;353689;12,88
83484;343445;нет
47343;370899;нет
45331;331892;нет
45099;336774;12,88
47346;336782;нет
47345;362715;нет
47347;330404;нет
68011;327004;нет
47342;363879;нет
45097;331890;12,88
45098;331891;12,88
47344;329578;нет
45104;329407;12,88
45101;329676;12,88
61512;331012;нет
45464;329632;12,88
68003;331380;нет
45095;335041;нет
51971;334961;нет
76710;357895;нет
60159;335042;8,9
60098;332443;нет
53705;335818;21,95
62162;331642;нет
48937;335995;нет
51969;336587;нет
51969;331377;нет
51606;336847;нет
87220;331013;нет
53712;334843;нет
54635;335588;нет
51580;350841;нет
51581;334882;нет
87219;331352;нет
74867;331378;нет
62162;336783;нет
65495;335233;9,97
51579;335853;нет
75390;335438;нет
75389;335436;нет
65496;335234;9,97
65498;332098;9,97
60163;336160;нет
60161;336161;нет
75441;335379;9,97
73047;335297;нет
60157;348348;нет
71012;348350;нет
65497;332099;9,97
55839;336853;нет
60098;335383;нет
68761;335799;нет
65494;332100;9,97
74868;334883;нет
71011;335797;нет
51582;335587;нет
51583;335039;нет
65493;332102;9,97
61896;351079;6,33
84120;331246;нет
65568;334320;нет
82755;335298;нет
83626;335296;нет
61515;331379;нет
79542;332642;нет
54883;334881;нет
65567;336075;нет
79985;375517;нет
114452;432424;15,23
114457;346975;нет
101630;378718;12,47
114461;359149;12,45
101629;359147;12,37
101631;359148;12,47
79976;368885;7,4
85944;369725;нет
85940;336563;15,87
85941;366864;нет
79991;378167;нет
79990;362411;нет
79992;371432;нет
79989;362405;нет
79975;335038;12,48
43461;335010;15,29
43462;331881;нет
43463;331883;12,71
43464;331301;нет
53694;332409;15,85
