M_id;T_id;Price_d4
75960;373917;63,84
49255;362597;12,33
150903;474323;5,47
19117;326279;7,16
357997;572855;112,76
352555;573128;20,85
304650;568304;22,84
220369;569709;42,09
17061;362724;19,43
40678;326617;13,86
19948;371545;13,11
303698;565330;355,53
303693;565333;355,53
303708;565332;358,85
303705;557512;35,56
303703;565331;355,53
93355;426000;13,43
74960;337821;15,17
9771;362160;15,71
110084;426005;20,23
57158;365325;7,9
91228;403375;16,94
107812;403959;8,04
9802;361429;8,56
229180;564071;87,47
85564;333460;91,77
229185;467300;52,43
85556;333521;91,45
108104;359876;80,9
240732;564072;56,2
108105;359875;111,43
85549;333461;68,66
134495;359879;68,66
229188;467215;75,53
85546;352527;122,04
179668;438283;91,5
85568;352348;89,26
199702;465393;197,5
173390;438281;96,16
85568;398724;89,26
134496;347237;96,13
110546;334350;196,63
110548;334819;91,76
110549;349793;143,46
9774;326329;8,79
80113;374520;9,85
17056;326711;9,24
93034;348406;12,87
49926;426006;12,65
19946;326874;12,19
49929;426007;12,17
20324;326712;11,53
19970;328815;16,1
48255;346708;15,36
13798;352522;9,38
41608;351328;13,1
80143;364247;11,23
94679;345909;19,8
94678;346817;19,51
26752;363755;13,42
48291;327259;13,29
38428;328640;9,23
68032;362481;10,73
13789;327225;14,16
38455;335946;12,69
13441;326278;9,94
13443;326710;9,87
9801;326914;11,4
93393;380732;11,43
40728;327278;12,7
20504;376138;26,1
38447;337013;17,97
13787;329072;20,81
99997;344963;124,89
9783;326873;7,11
38433;362112;10,3
144797;425999;9,29
19971;403625;16,6
55117;335697;11,01
55115;350060;11,8
20505;326573;44,79
36006;362827;13,59
13442;326383;14,23
36004;328642;9,21
9703;326769;10,96
36008;336950;15,97
12905;327769;14,95
48248;329720;10,55
175758;436356;113,54
9781;329073;10,72
36012;361980;13,34
9778;363735;12,77
21534;565392;12,45
9780;327493;8,45
19961;333419;10,87
40838;329709;12,28
70960;332533;10,38
91262;349129;12,08
9773;381493;8,95
113216;426009;14,16
136116;426010;18,05
353703;558840;68,23
288337;487034;83,87
286236;486484;43,24
17058;362743;12,38
38435;361744;10,75
9806;361091;10,65
311799;529874;21,07
316648;554032;20,85
352804;558838;20,43
316986;554033;20,66
347566;558839;20,31
311802;529875;20,36
73854;347338;17,76
77672;363280;17,52
40852;336588;8,66
40853;361004;8,67
107163;373623;19
107160;426004;15,44
70203;327305;11,73
70201;364454;11,56
111112;563109;9,08
13794;326826;10,37
13795;360958;7,7
305424;564130;12,41
75792;359518;12,64
20536;326622;10,97
80186;335008;14,42
309947;558769;106,33
178156;437743;4,95
154067;359275;5,06
178158;437735;4,95
187061;439200;3,94
187065;439201;3,9
187064;439202;4,16
357998;561084;79,02
201569;464139;104,13
303695;557511;35,56
110092;326659;21,98
48821;329866;21,81
48822;328950;18,72
51351;335037;21,16
48824;353890;21,69
160616;355417;4,64
156013;355415;4,92
160229;360002;4,74
156014;355416;4,87
157152;360001;4,97
156559;360000;4,96
107353;354185;112,9
38431;361855;15,26
25637;365691;51,26
141631;414535;78,81
306406;524215;60,87
221061;464138;73,94
265797;469454;131,92
265806;469455;274,68
230878;468931;98,81
352811;557287;66,55
114452;432424;16,86
101630;378718;13,02
101629;359147;13,02
101631;359148;13,02
85940;336563;16,55
79906;336884;13,14
79908;334062;13,51
79910;334959;13,27
79913;365091;13,02
79914;331878;13,02
79915;331879;13,27
79922;335585;13,14
80002;334960;13,27
79929;345621;6,57
79901;336319;13,02
79902;336295;13,27
79959;432416;16,7
79904;336297;13,14
285911;477200;134,97
97719;339047;18,51
97722;339048;34,39
300091;529825;137,44
84661;468236;10,65
180833;533249;44,76
276351;533952;85,76
117707;532087;17,32
107999;533721;17,31
244566;580850;76,45
46673;331888;21,87
137294;412435;81,64
86404;405410;60,96
300094;557256;81,91
392870;570353;54,27
73633;369822;22,48
117048;405560;14,42
36597;361585;23,13
27451;360814;42,97
99575;357037;14,81
80807;371559;45,83
73634;363625;31,83
229376;470111;56,7
144109;468237;12,4
173007;524209;12,21
196906;462079;148,95
90350;468716;136,59
307804;525294;162,05
68568;577203;6,9
62453;333642;3,14
234766;533686;45,51
179226;438363;50,52
117210;329975;56,11
112899;357217;11,53
67074;336812;13,5
195304;467687;22,98
82551;347304;7,18
61899;350776;10,22
61901;333057;10,17
61903;333595;10,07
61900;348496;10,17
96938;334139;10,84
96939;333661;7,17
55272;330815;40,95
73091;368013;116,56
107360;468238;10,89
22157;468766;11,59
68689;470113;12,53
68689;379713;12,53
89910;467165;153,86
107753;351447;216,63
167222;425943;188,78
196772;376983;221,18
127215;357672;167,03
372279;558923;24,01
198725;469516;30,58
139553;358764;159,86
169316;432273;122,92
291784;466713;109,95
96934;326955;14,19
96947;370028;15,53
62453;575868;3,14
62453;362680;3,14
47888;369823;22,73
80810;364176;11,96
80811;373622;23,59
129754;576949;5,07
68572;468767;12,01
230053;555458;83,89
391909;568451;78,59
374318;564374;31
380122;564566;36,67
196822;564421;27,05
196825;564424;26,92
196824;564422;27,42
102060;346925;1,06
303698;577685;355,53
303698;557514;355,53
303693;557515;355,53
303708;557513;358,85
303703;557516;355,53
402459;568541;66,09
125841;329974;55,34
164741;430951;52,55
83407;373143;13,96
97312;375650;19,37
83412;377279;16,37
83409;376764;19,62
48820;328949;21,2
107956;577171;20,81
89119;373835;16,34
110091;326932;22,48
374967;572786;6,65
265863;564241;96,8
201899;575576;146,47
89911;369672;114,64
307541;564240;52,92
307542;525295;99,06
342550;576588;327,32
75948;384364;37,87
409312;343446;56,44
86413;358221;12,92
87639;358433;23,67
157030;425781;260,78
49319;379435;3,93
97846;570135;7,86
137511;578714;9,28
141925;574067;4,32
169276;575956;23,05
20594;349400;10,6
20594;372404;10,6
378057;564385;184,69
131988;568163;53,87
27881;576962;4,96
20324;363382;11,53
84694;468700;12,04
69015;468768;10,77
84695;468701;12,05
91228;404042;16,94
146919;575695;32,82
63044;401194;6,31
50479;379136;7,38
140746;358104;187,01
74164;335756;22,72
45879;326979;22,94
123190;576887;37,47
239520;572858;46,42
48622;335757;22,07
299193;529512;43,56
299194;529511;71,47
60199;393659;38,21
229189;466916;65,54
200385;401688;112,86
108105;448391;111,43
179667;438284;107,76
116172;360170;68,66
229187;562119;54,93
229188;333458;75,53
85552;333462;92,98
108826;570938;12,88
48400;393546;13,14
47518;399070;13,16
47527;384878;13,06
20576;468769;7,94
84711;468702;8,29
69068;376085;4,43
69893;468770;8,63
69051;370719;37,5
75962;371557;64,78
77705;382768;17,79
77705;368988;17,79
316596;571361;14,17
228456;466736;123,69
146608;436311;137,24
342094;562138;108,91
70495;372710;56,08
133197;436410;9,19
133198;329809;17,11
86648;355013;15,58
48821;570987;21,81
99953;576254;13,99
391684;570678;18,66
391680;570677;18,65
391683;570679;18,65
360861;570676;18,64
360860;570675;18,63
360862;567212;16,41
177330;529824;106,73
167522;575744;10,03
87964;400787;18,15
234766;327678;45,51
117326;328170;17,98
116370;578775;18,13
13798;570790;9,38
151140;359362;101,2
83407;384635;13,96
84849;524211;12,16
95086;345396;23,36
76355;329373;32,58
103958;450294;22,5
30822;329374;33,49
76356;562166;32,89
103964;360118;23,34
68599;377476;10,19
76377;328097;33,81
95423;346968;23,57
26752;373250;13,42
26752;365835;13,42
84724;468703;8,44
199313;468771;9,66
294273;571237;123,99
54891;335760;22,07
94312;378765;86,24
85372;348690;25,42
80913;580842;16,65
151253;431763;601,85
110112;405559;334,95
101125;376089;29,03
50807;335941;6,24
50808;329114;10,08
84672;468704;12,35
68705;378853;6,81
59236;386098;16,4
77728;578755;18,16
