ID_MORION;Money;Quantity
486;2584559,489;20866,58573
491;1353432,037;12895,0365
508;170430,6148;1233,530545
512;227216,6705;534,0986197
514;61915,02319;164,4130767
560;417994,4857;605,7392853
586;345814,5883;3427,004205
587;218766,7491;2225,955386
589;416247,5014;3294,732089
590;105889,1681;492,401381
591;66114,28267;118,5120415
664;276925,3282;12695,77041
707;34588,70013;80,57004216
717;1899,29189;11,42725794
724;1614668,978;7805,850059
738;190985,5421;74,99011014
751;548359,4632;1020,698107
817;149516,0517;1915,487401
912;2971,062569;8,633071471
1000;826,4780425;3,749116512
1435;9371,90607;216,8350578
1454;14285,66746;92,02760511
1455;27191,61062;59,00044154
1479;2871289,957;18198,47388
1578;65289,96663;1566,852427
1601;62,32770681;10,42492338
1610;76,60798897;1,435951059
1714;399,8914606;0,146265285
1771;660421,8975;5117,732096
1848;1305501,31;4887,286407
1905;212717,4366;424,4892453
1988;1125,8943;8,470571711
2000;41575,37786;43,2251723
2001;24559,05627;65,07618594
2010;37700,57028;90,39483408
2011;295671,1339;2290,19124
2076;343908,051;5054,911744
2087;443460,4154;4318,009028
2151;2364,402592;4,438047137
2221;637507,589;7596,085577
2288;450326,3641;4837,931068
2349;3498303,952;7017,238569
2400;96407,06728;455,163479
2434;1077208,354;1413,322718
2440;1734075,328;4323,838426
2445;211706,2632;464,9568762
2450;1818395,739;9946,358297
2462;951,5166105;13,44146487
2464;19791,78675;28,93723824
2480;1705822,141;6814,213919
3360;11226,15177;201,4125497
3361;9656,36546;126,7749806
3362;11108,69403;196,5329454
3363;9307,677482;122,9156843
3371;67677,41835;132,8579343
3463;3088457,809;7470,07488
3485;1850462,97;11734,65365
3486;21,69665682;0,766874682
3487;54474,07476;306,4707747
3496;2688,765081;153,1999961
3503;338999,6907;2552,671334
3508;782965,6384;4151,264115
3526;342661,3004;105,6340804
3543;68626,36193;942,9111138
3595;3065884,643;7620,267409
3596;607763,9997;5070,368168
3599;437826,7572;6717,346578
3602;177906,0623;7592,089137
3603;2213257,883;46054,04871
3677;140,2970374;0,54788549
3680;4233,131098;33,25868561
3722;309349,6663;3535,323401
3762;1037,175352;8,636280126
3764;4261333,213;72263,23416
3774;5541,745203;54,95940307
3789;42740,10398;70,02555581
3808;19119,07073;5140,723112
3875;1106598,594;40798,62924
3903;1791117,067;7284,501904
3904;19682,17801;392,8315975
3905;48757,12523;636,9909146
3906;10681,37416;95,06140084
3918;140775,8447;571,1008678
3919;418912,0621;1366,380498
3932;202598,5107;1529,153422
3933;64211,55398;367,2381433
3946;617553,567;3348,000996
3950;1033457,542;1348,0303
3969;355527,8261;5896,987453
4016;281332,1671;423,128998
4017;359261,2661;284,6162703
4043;4102163,876;84110,67093
4048;794665,352;14723,81857
4065;11582,10872;44,01767544
4072;1234494,245;6127,062726
4073;569570,6684;3527,30313
4074;3591346,373;21615,83053
4079;2762446,219;9795,014561
4080;215625,2327;1742,976481
4082;203051,0663;1596,616639
4083;15607,09672;93,93182147
4199;20776,12765;90,77774206
4200;53199,06196;212,8685389
4211;273113,6657;3271,429236
4235;413003,3235;3502,730105
4236;25786,32134;18,96371952
4237;339,1387318;0,643527005
4238;57201,25966;973,9379907
4239;49214,49642;506,4763069
4247;7717,043362;7,298682272
4255;376794,9835;1904,571365
4258;1240,520917;4,707575547
4266;1663411,262;10719,21945
4267;911674,5522;11717,61654
4273;8384,406344;4,82139832
4275;102983,4555;1194,295218
4276;3669031,265;44588,59977
4277;579956,47;8161,358738
4280;85386,57657;1030,943468
4281;82796,01567;2012,841307
4283;662041,2191;2240,925655
4291;260559,9893;3953,218302
4292;213256,4358;2730,607323
4294;906688,4457;12053,70397
4295;6860420,216;25720,62181
4296;80546,19284;2326,923207
4298;1953053,566;7808,203555
4309;2392445,469;15200,96976
4310;1847186,653;8937,810852
4313;931588,1176;18528,14484
4316;922221,4175;6920,262097
4319;657915,9828;4109,043918
4327;2098330,296;15549,90153
4328;3894315,265;37363,30038
4344;417872,3155;5526,76809
4354;521001,3115;5473,188141
4356;310916,9352;697,7751432
4371;442806,2536;554,1420599
4372;462248,127;405,6894617
4376;1135930,764;23994,42585
4383;482502,2234;3990,791956
4410;166393,2123;2717,59767
4480;46,53596063;5,816995079
4501;42548,36926;415,5636581
4502;27913,43091;454,1116056
4504;5317,191415;11,70550151
4519;3206,88507;12,7021685
4525;18505,50959;161,1900199
4531;449626,5805;4263,531533
4532;624366,8387;5905,826986
4537;498327,2416;840,9590531
4563;508590,771;4430,078444
4651;1871,02584;6,274993901
4658;1285371,159;7924,138979
4681;99187,36958;845,203317
4695;73623,3328;965,7752962
4696;69540,59689;1186,050266
4697;159955,26;2693,919787
4711;135970,1108;7157,439541
4712;80988,35083;3180,920214
4741;236253,9186;86,59568933
4747;1077856,85;28256,84935
4748;642387,0498;5918,862415
4771;9949139,652;155098,3029
